n_task	metric	correlation
6	inverse_trace_mc	0.6551280865184925
6	random	0.5995095526565178
6	variance	0.7541453327017488
6	variance_mc	0.7444998558682921
6	log_det_mc	0.757137046480983
6	inverse_trace_mc	0.7601442095857339
6	random	0.586330436956708
6	variance	0.67257687081028
6	variance_mc	0.6309257671223248
6	log_det_mc	0.6816020222276518
6	inverse_trace_mc	0.6621886500788623
6	random	0.45999785224085454
6	variance	0.5507336572316869
6	variance_mc	0.6157731978704285
6	log_det_mc	0.6349313618274645
6	inverse_trace_mc	0.6153841761735089
6	random	0.4220352109524144
6	variance	0.7292613458288273
6	variance_mc	0.6738757926658314
6	log_det_mc	0.671773906064627
6	inverse_trace_mc	0.6843229286889031
6	random	0.4969384262673693
6	variance	0.6560293137562295
6	variance_mc	0.6327946708607437
6	log_det_mc	0.6875975704355827
6	inverse_trace_mc	0.6594248165530007
6	random	0.5438621196786939
6	variance	0.6739824769644166
6	variance_mc	0.6959234467464117
6	log_det_mc	0.6434048199436563
6	inverse_trace_mc	0.6952126591325946
6	random	0.5780350126900196
6	variance	0.6670392433758794
6	variance_mc	0.6929676927149556
6	log_det_mc	0.7087528185501715
6	inverse_trace_mc	0.6980073931968158
6	random	0.6420452773611534
6	variance	0.6449925444724798
6	variance_mc	0.6647868445902466
6	log_det_mc	0.6852943813402284
6	inverse_trace_mc	0.7236602254061237
6	random	0.45842840810998786
6	variance	0.6307351209648286
6	variance_mc	0.5839782128267805
6	log_det_mc	0.6959321042472971
6	inverse_trace_mc	0.6836669249406966
6	random	0.5226798137383285
6	variance	0.6902992503269239
6	variance_mc	0.6239914300344567
6	log_det_mc	0.653763230609583
6	inverse_trace_mc	0.6526392302516186
6	random	0.49257207445505224
6	variance	0.656878165167247
6	variance_mc	0.6391192364478461
6	log_det_mc	0.6768411947565107
6	inverse_trace_mc	0.6585505905431986
6	random	0.598085342872117
