n_task	metric	accuracy
4	inverse_trace_mc	0.8340616392800579
4	random	0.8108161362235733
4	variance	0.7951743837302866
4	variance_mc	0.8154815863034127
4	log_det_mc	0.8799153600853086
4	inverse_trace_mc	0.872675069452043
4	random	0.8715319269407061
4	variance	0.8391057947687162
4	variance_mc	0.7879031728566657
4	log_det_mc	0.7416637564022222
4	inverse_trace_mc	0.7159603852335223
4	random	0.8265756886890157
4	variance	0.804796726147195
4	variance_mc	0.8752550563977272
4	log_det_mc	0.885457791465754
4	inverse_trace_mc	0.7963490374556113
4	random	0.7236880957896958
4	variance	0.6774603449183045
4	variance_mc	0.8097575880070835
4	log_det_mc	0.8151026255015751
4	inverse_trace_mc	0.8091614585153188
4	random	0.6904341284728301
4	variance	0.7549882722087401
4	variance_mc	0.8646471635282973
4	log_det_mc	0.8672635157236517
4	inverse_trace_mc	0.8876484578002204
4	random	0.8110581413667953
4	variance	0.8140822954422824
4	variance_mc	0.8677014493967384
4	log_det_mc	0.899977087591298
4	inverse_trace_mc	0.9100786012251105
4	random	0.7598410568044692
4	variance	0.8593708151510996
4	variance_mc	0.8767458213136705
4	log_det_mc	0.8978051638171192
4	inverse_trace_mc	0.8763392864991943
4	random	0.5658313050972078
4	variance	0.897364970272337
4	variance_mc	0.8135765604328409
4	log_det_mc	0.8818651692369663
4	inverse_trace_mc	0.7338415053637409
4	random	0.8070457133243552
4	variance	0.7739868950550413
4	variance_mc	0.7788356793257771
4	log_det_mc	0.779535814261195
4	inverse_trace_mc	0.7888348075145828
4	random	0.7258964672001519
4	variance	0.7228260601055114
4	variance_mc	0.8882562423951029
4	log_det_mc	0.7861542566236795
4	inverse_trace_mc	0.7673798986474141
4	random	0.5402798541714594
4	variance	0.8577437225015525
4	variance_mc	0.7178308916237874
4	log_det_mc	0.7055799319929072
4	inverse_trace_mc	0.7365423491800778
4	random	0.837769958323975
4	variance	0.736746457368058
4	variance_mc	0.8262335133136247
4	log_det_mc	0.8690043507011244
4	inverse_trace_mc	0.7946763573183325
4	random	0.8859091683903353
4	variance	0.6039513950408731
4	variance_mc	0.5733512562838431
4	log_det_mc	0.660808680701364
4	inverse_trace_mc	0.686845609453338
4	random	0.9078705723177866
4	variance	0.6881830603268166
4	variance_mc	0.6608268522327854
4	log_det_mc	0.7967669264476887
4	inverse_trace_mc	0.8116661182940281
4	random	0.7416531369385914
4	variance	0.6906658901803374
4	variance_mc	0.7163335110672181
4	log_det_mc	0.6750949825368431
4	inverse_trace_mc	0.8226545903326413
6	random	0.6200552688005214
6	variance	0.7434858759327598
6	variance_mc	0.7339917146246384
6	log_det_mc	0.8022117168213424
6	inverse_trace_mc	0.8047878824724178
6	random	0.7518313465261262
6	variance	0.6743895397495687
6	variance_mc	0.7602613104816842
6	log_det_mc	0.813364027035238
6	inverse_trace_mc	0.8243897253676988
6	random	0.7790833548889791
6	variance	0.7625289712393077
6	variance_mc	0.7813873643313758
6	log_det_mc	0.7872238672907315
6	inverse_trace_mc	0.7851501057552654
6	random	0.7683944965411524
6	variance	0.636953898106029
6	variance_mc	0.7385195937524035
6	log_det_mc	0.750517583808108
